
============================================================
Architecture Invariance Experiment
Architecture: mlp
Output: results/mlp
Device: cpu
============================================================

Model parameters: 1,087,360
step  2300 | train 1.3516 | val 1.6210 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 6.22e-04 | 596.1s
step  2350 | train 1.3556 | val 1.5942 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 6.08e-04 | 609.0s
step  2400 | train 1.3456 | val 1.6036 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.93e-04 | 622.1s
step  2450 | train 1.3397 | val 1.6167 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.79e-04 | 634.9s
step  2500 | train 1.3237 | val 1.6060 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.64e-04 | 647.9s
step  2550 | train 1.3102 | val 1.5816 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.50e-04 | 661.1s
step  2600 | train 1.3240 | val 1.6039 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.36e-04 | 674.1s
step  2650 | train 1.3148 | val 1.5959 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.21e-04 | 687.3s
step  2700 | train 1.3297 | val 1.6056 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.07e-04 | 700.3s
step  2750 | train 1.3083 | val 1.5905 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.92e-04 | 713.2s
step  2800 | train 1.3161 | val 1.5901 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.78e-04 | 726.3s
step  2850 | train 1.3136 | val 1.5871 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.64e-04 | 740.5s
step  2900 | train 1.3026 | val 1.5867 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.50e-04 | 753.6s
step  2950 | train 1.3021 | val 1.5858 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.36e-04 | 766.8s

============================================================
Training complete in 779.9s (13.0m)
Best val loss: 1.5816
Final crystal fraction: 100.0%
Per-layer: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%', '100.0%']
Layer ordering (most→least crystallized): [0, 1, 2, 3, 4, 5]
============================================================

Results saved to results/mlp/
