
============================================================
Architecture Invariance Experiment
Architecture: transformer
Output: results/transformer
Device: cpu
============================================================

Model parameters: 1,214,592
step  2300 | train 1.4472 | val 1.6300 | crystal 79.2% | order [0, 1, 5, 2, 4, 3] | lr 6.22e-04 | 1056.1s
step  2350 | train 1.4333 | val 1.6238 | crystal 79.2% | order [0, 1, 5, 2, 4, 3] | lr 6.08e-04 | 1079.0s
step  2400 | train 1.4552 | val 1.6182 | crystal 83.3% | order [0, 1, 5, 2, 4, 3] | lr 5.93e-04 | 1101.4s
step  2450 | train 1.4203 | val 1.6185 | crystal 83.3% | order [0, 1, 5, 2, 4, 3] | lr 5.79e-04 | 1124.3s
step  2500 | train 1.4475 | val 1.6213 | crystal 83.3% | order [0, 1, 5, 2, 4, 3] | lr 5.64e-04 | 1146.9s
step  2550 | train 1.4245 | val 1.6239 | crystal 87.5% | order [0, 1, 4, 5, 2, 3] | lr 5.50e-04 | 1169.5s
step  2600 | train 1.4224 | val 1.6154 | crystal 91.7% | order [0, 1, 2, 4, 5, 3] | lr 5.36e-04 | 1192.3s
step  2650 | train 1.4205 | val 1.5938 | crystal 95.8% | order [0, 1, 2, 4, 5, 3] | lr 5.21e-04 | 1214.7s
step  2700 | train 1.4103 | val 1.6017 | crystal 95.8% | order [0, 1, 2, 4, 5, 3] | lr 5.07e-04 | 1237.1s
step  2750 | train 1.4027 | val 1.6159 | crystal 95.8% | order [0, 1, 2, 4, 5, 3] | lr 4.92e-04 | 1260.1s
step  2800 | train 1.4033 | val 1.6053 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.78e-04 | 1283.2s
step  2850 | train 1.3999 | val 1.5903 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.64e-04 | 1306.5s
step  2900 | train 1.3848 | val 1.5870 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.50e-04 | 1329.7s
step  2950 | train 1.3993 | val 1.5814 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.36e-04 | 1352.4s

============================================================
Training complete in 1380.6s (23.0m)
Best val loss: 1.5814
Final crystal fraction: 100.0%
Per-layer: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%', '100.0%']
Layer ordering (most→least crystallized): [0, 1, 2, 3, 4, 5]
============================================================

Results saved to results/transformer/
