
============================================================
Architecture Invariance Experiment
Architecture: lstm
Output: results/lstm
Device: cpu
============================================================

Model parameters: 802,688
step  2300 | train 1.3284 | val 1.5277 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 6.22e-04 | 1877.0s
step  2350 | train 1.3305 | val 1.5375 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 6.08e-04 | 1917.8s
step  2400 | train 1.3204 | val 1.5141 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.93e-04 | 1958.9s
step  2450 | train 1.3174 | val 1.5304 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.79e-04 | 1999.3s
step  2500 | train 1.3209 | val 1.5006 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.64e-04 | 2040.9s
step  2550 | train 1.3056 | val 1.5184 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.50e-04 | 2081.8s
step  2600 | train 1.3140 | val 1.5139 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.36e-04 | 2122.5s
step  2650 | train 1.3149 | val 1.5224 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.21e-04 | 2163.2s
step  2700 | train 1.3094 | val 1.5207 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 5.07e-04 | 2204.5s
step  2750 | train 1.3085 | val 1.5163 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.92e-04 | 2246.1s
step  2800 | train 1.3125 | val 1.5245 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.78e-04 | 2293.0s
step  2850 | train 1.3044 | val 1.5148 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.64e-04 | 2332.1s
step  2900 | train 1.2984 | val 1.5068 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.50e-04 | 2372.3s
step  2950 | train 1.2985 | val 1.5039 | crystal 100.0% | order [0, 1, 2, 3, 4, 5] | lr 4.36e-04 | 2412.2s

============================================================
Training complete in 2452.2s (40.9m)
Best val loss: 1.5006
Final crystal fraction: 100.0%
Per-layer: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%', '100.0%']
Layer ordering (most→least crystallized): [0, 1, 2, 3, 4, 5]
============================================================

Results saved to results/lstm/
